company,unique_domains,domains_sample
Grove Care Limited,2,allegracare.co.uk; thegroveonline.co.uk
Grove Surgery,2,grovesurgerychadwellheathlane.co.uk; grovesurgerythetford.co.uk
H I C A,2,hica-uk.com; hicagroup.co.uk
H&F Partnership,2,brookgreenmc.co.uk; parkmedicalcentre.com
Hales Group Limited,2,halescare.co.uk; halesgroup.co.uk
Hazelwood Care Limited,2,bywellhouse.co.uk; hazelwoodcare.co.uk
Health Vision UK Limited,2,healthvisionuk.co.uk; healthvisionuk.com
Healthcare Homes (LSC) Limited,2,foxearthlodge.co.uk; healthcarehomes.co.uk
Hollyman Care Homes Limited,2,broadlandhouse.com; broadlandspark.co.uk
Homes Together Limited,2,homestogether.co.uk; homestogether.net
I Care (GB) Limited,2,icare.co.uk; icaregroup.co.uk
Inspire Dental Eastwood Limited,2,familydentaleastwood.co.uk; familydentalwestcliff.co.uk
J.E.M. Care Limited,2,jemcareltd.co.uk; tollingtonlodge.co.uk
Jewish Care,2,jewishcare.org; sunridgecourt.org.uk
Jubilee Medical Group,2,jubileemedical.com; longfield-newashgreen-surgeries.co.uk
Kismet House Care Home Limited,2,hotmail.co.uk; kismethouse.co.uk
Lancashire Teaching Hospitals NHS Foundation Trust,2,lancashireteachinghospitals.nhs.uk; lancsteachinghospitals.nhs.uk
Landona House Limited,2,delamerelodgecarehome.com; landonahousecarehome.co.uk
Leeds Teaching Hospitals NHS Trust,2,leedsteachinghospitals.com; leedsth.nhs.uk
Liaise (South) Limited,2,liaise.co.uk; liaise.com
Liverpool University Hospitals NHS Foundation Trust,2,aintreehospital.nhs.uk; aintreehospitals.nhs.uk
Lodge Group Care UK Limited,2,lodgegroup.com; lodgegroupcareuk.com
London Care Limited,2,customcare.co.uk; londoncare.co.uk
Malhotra Care Homes Limited,2,heathefieldcaregroup.com; prestwickcare.co.uk
Marantomark Limited,2,stgeorgescarecentre.co.uk; stmaryscarecentre.co.uk
Marriott's Medical Practices,2,baconroadmedicalcentre.nhs.uk; tavershampartnership.co.uk
Medway Practices Alliance Limited,2,medwaypracticesalliance.co.uk; mpagrouppractices.co.uk
Memory Lane Care Homes Limited,2,memorylanecarehomes.co.uk; readhouse.org
Mid and South Essex NHS Foundation Trust,2,mse.nhs.uk; southend.nhs.uk
Midshires Care Limited,2,helpinghands.co.uk; helpinghandshomecare.co.uk
Midway Care Ltd,2,midwaycare.co.uk; midwaycaregroup.co.uk
Milkwood Care Ltd,2,elderlycare.co.uk; milkwoodcare.co.uk
Millennium Support Ltd,2,mcare.info; millenniumsupport.co.uk
Moorgate Care Village Limited,2,moorgatecarevillage.co.uk; parklanehealthcare.co.uk
Moorville Developments Limited,2,moorville-residential.co.uk; moorville.com
Mr & Mrs Ryan Godwin,2,homecareservices-rossendale.co.uk; lifestyle-homecare.co.uk
Mr Donald Smith,2,beech-tree-hall.co.uk; beechtreehall.com
National Autistic Society (The),2,autism.org.uk; nas.org.uk
Newbarn Limited,2,freeholdcottage.com; newbarnltd.co.uk
Newlife Care Services Limited,2,salutemcareandeducation.co.uk; salutemcareers.co.uk
North Staffordshire Combined Healthcare NHS Trust,2,combined.nhs.uk; holmcroftsurgery.nhs.uk
North West Anglia NHS Foundation Trust,2,hinchingbrooke.nhs.uk; peterboroughandstamford.nhs.uk
Northwest Orthodontists Limited,2,oldhamorthodontics.co.uk; rochdaleorthodontics.co.uk
Oak Tree Forest Limited,2,ellenmede.org; ellernmede.org
One Medicare Ltd,2,onemedicalgroup.co.uk; onemedicare-thelight.co.uk
Outlook Care,2,outlookcare.org.uk; stgeorgescare.com
PAKS Trust,2,pakstrust.co.uk; pakstrust.com
Pages Homes Limited,2,amherstcourt.org; woodvilleresthome.org
Park Lane Surgery,2,parklanesurgeryallestree.co.uk; parklanesurgerybroxbourne.secure-gpsite.nhs.uk
Parkcare Homes (No.2) Limited,2,prioryadultcare.co.uk; priorygroup.com
Parkview Care Homes Limited,2,macleodpinsentcarehomes.co.uk; mpch.co.uk
Partnerships in Care 1 Limited,2,prioryadultcare.co.uk; priorygroup.com
Partnerships in Care Limited,2,prioryadultcare.co.uk; priorygroup.com
Pier Health Group Limited,2,grahamroadsurgery.nhs.uk; phglservices.co.uk
Pilgrims' Friend Society,2,emmaushouse.co.uk; pilgrimsfriend.org.uk
Potensial Limited,2,potens-uk.com; potensial.co.uk
Precious Homes Limited,2,precious-homes.co.uk; precious-homes.com
Pressbeau Limited,2,pressbeau.co.uk; villagegreencarehome.co.uk
Primary Care Sheffield Limited,2,buchananroadsurgery.co.uk; clovercitypractice.co.uk
Prime Care Domiciliary Limited,2,primecaredomiciliaryltd.co.uk; primecareltd.com
Primula Care Limited,2,primroselodge-southbourne.co.uk; primroselodge-weymouth.co.uk
Priory Supported Living Limited,2,prioryadultcare.co.uk; priorygroup.com
RCH Care Homes Limited,2,ranccare.co.uk; rchcarehomes.co.uk
Ramsay Health Care UK Operations Limited,2,ramsayhealth.co.uk; ramsayhelath.co.uk
Ranworth Surgery,2,caradocsurgery.co.uk; greenelms.co.uk
Royal Bay Care Homes Ltd,2,castlefarmcare.co.uk; royalbay.co.uk
Royal Free London NHS Foundation Trust,2,barnet.nhs.uk; royalfree.nhs.uk
Ruby Care Limited,2,ruby-care.com; woodlandsresidentialcare.com
Runwood Homes Limited,2,runwoodhomes.co.uk; runwwodhomes.co.uk
SSP Health GPMS Ltd,2,ssphealth.com; warwickroadsurgery.co.uk
Saint John of God Hospitaller Services,2,saintjohnofgod.org; sjog.org.uk
Sandwell and West Birmingham Hospitals NHS Trust,2,swbh.nhs.uk; yhp.org.uk
Select Support Partnerships Ltd,2,selectsupportpartnerships.co.uk; selectsupportpartnerships.com
Solehawk Limited,2,ashtoncourtcare.co.uk; craigieleacare.co.uk
Somerset NHS Foundation Trust,2,sompar.nhs.uk; yeovilhospital.co.uk
South Yorkshire Housing Association Limited,2,shsc.nhs.uk; syha.co.uk
St Andrew's Healthcare,2,stah.org; standrewshealthcare.co.uk
St Anne's Community Services,2,st-annes.org.uk; stannes.org.uk
St. Martin's Care Limited,2,smcgroup.co.uk; stmartinscare.co.uk
Stow Healthcare Group Limited,2,brandonpark.co.uk; stowhealthcare.co.uk
Suffolk Primary Care,2,oakfieldsurgery.org.uk; suffolkprimarycare.co.uk
Swanton Care & Community (Autism North) Limited,2,barchester.com; swantoncare.com
T.L. Care Limited,2,hillcare.net; tlcare.co.uk
TLC CARE HOMES CLACTON RESIDENTIAL LIMITED,2,ivolve.care; tlccarehomes.co.uk
The Forward Trust,2,actiononaddiction.org.uk; forwardtrust.org.uk
The Human Support Group Limited,2,homecaresupport.co.uk; humansupportgroup.co.uk
The Ormsby Group Limited,2,ormsbygroup.org.uk; ormsbylodge.org.uk
Torbay and South Devon NHS Foundation Trust,2,sdhct.nhs.uk; torbayandsouthdevon.nhs.uk
Trust Care Ltd,2,minstercaregroup.co.uk; trustcare.co.uk
Tudor Bank Limited,2,altpark.co.uk; douglasbank.co.uk
UK Addiction Treatment Limited,2,recoverylighthouse.com; sanctuarylodge.com
Ultimate Care Limited,2,biltonhall.co.uk; wecaregroup.co.uk
University Hospitals Sussex NHS Foundation Trust,2,bsuh.nhs.uk; westernsussexhospitals.nhs.uk
University Hospitals of Leicester NHS Trust,2,leicestershospitals.nhs.uk; uhl-tr.nhs.uk
Voyage 1 Limited,2,voyagecare.com; voyageccare.com
Walsall Healthcare NHS Trust,2,walsallhealthcare.nhs.uk; walsallhospitals.nhs.uk
Waythrough,2,humankindcharity.org.uk; newvisionbradford.org.uk
Wirral Community NHS Foundation Trust,2,wchc.nhs.uk; wirralict.nhs.uk
Yew Tree Care Limited,2,churchfieldscare.co.uk; yewtreecare.co.uk
(IECC Care) Independent Excel Care Consortium Limited,1,iecc-care.co.uk
02 Care Ltd,1,o2care.co.uk
108 Medical Ltd,1,108harleystreet.co.uk
132 Harley Street Limited,1,132harleystreet.com
152 Harley Street Limited,1,152harleystreet.com
168 Medical Group,1,newcourtsurgery.nhs.uk
1Eclipse Care Solutions Limited,1,eclipsecare.uk
1st Enable Ltd,1,1stenable.co.uk
1st Healthcare Ltd,1,1sthealthcare.uk
1st Homecare Solutions Limited,1,1st-homecare.com
